# Scale factors (Data/MC)
[Offline PF jet pT (GeV)]
# pT	Ratio(Data/MC)	Stat. error
42.0	0.818	0.005
46.0	0.857	0.004
50.0	0.901	0.004
54.0	0.937	0.003
58.0	0.959	0.003
62.0	0.976	0.002
66.0	0.985	0.002
70.0	0.990	0.002
74.0	0.994	0.001
78.0	0.996	0.001
82.0	0.998	0.001
86.0	0.998	0.001
90.0	1.000	0.001
94.0	0.999	0.001
98.0	0.999	0.001
102.0	1.000	0.001
106.0	1.002	0.001
110.0	0.999	0.001
114.0	1.000	0.001
118.0	0.999	0.001

[Number of Offline Prompt Tracks]
# Ntrk	Ratio(Data/MC)	Stat. error
0.0	1.103	0.191
1.0	1.053	0.079
2.0	1.025	0.049
3.0	1.114	0.040
4.0	1.169	0.037
5.0	1.329	0.041
6.0	1.339	0.041
7.0	1.464	0.048
8.0	1.592	0.058
9.0	1.780	0.074
10.0	1.863	0.089
11.0	1.923	0.106
12.0	2.091	0.138
13.0	2.134	0.164
14.0	2.229	0.202
15.0	2.233	0.234
16.0	3.279	0.454
17.0	2.261	0.318
18.0	3.089	0.583
19.0	2.780	0.540

[Number of Offline Displaced Tracks]
# Ntrk	Ratio(Data/MC)	Stat. error
0.0	1.445	0.110
1.0	1.220	0.068
2.0	1.315	0.079
3.0	1.199	0.080
4.0	1.127	0.088
5.0	1.022	0.094
6.0	0.948	0.111
7.0	1.497	0.290
8.0	1.279	0.302
9.0	0.838	0.222
10.0	1.870	0.920
11.0	0.602	0.204
12.0	0.714	0.579
14.0	1.000	0.000

[Event HT]
# HT Ratio(Data/MC)  Stat. error
7.5 0.273 0.451
22.5 0.0 0.0
37.5 0.372 0.143
52.5 0.656 0.175
67.5 1.62 0.387
82.5 2.52 0.505
97.5 2.03 0.233
112.5 2.38 0.208
127.5 1.71 0.0989
142.5 1.71 0.0792
157.5 1.32 0.0432
172.5 0.995 0.0213
187.5 0.895 0.0124
202.5 0.877 0.00756
217.5 0.906 0.00487
232.5 0.942 0.00363
247.5 0.961 0.00243
262.5 0.976 0.00176
277.5 0.986 0.00135
292.5 0.992 0.00112
307.5 0.995 0.000904
322.5 0.997 0.000662
337.5 0.998 0.000533
352.5 0.999 0.000666
367.5 1.000 0.000715
