# Scale factors (Data/MC)
# HT Ratio(Data/MC)  Stat. error
7.5 0.273 0.451
22.5 0.0 0.0
37.5 0.372 0.143
52.5 0.656 0.175
67.5 1.62 0.387
82.5 2.52 0.505
97.5 2.03 0.233
112.5 2.38 0.208
127.5 1.71 0.0989
142.5 1.71 0.0792
157.5 1.32 0.0432
172.5 0.995 0.0213
187.5 0.895 0.0124
202.5 0.877 0.00756
217.5 0.906 0.00487
232.5 0.942 0.00363
247.5 0.961 0.00243
262.5 0.976 0.00176
277.5 0.986 0.00135
292.5 0.992 0.00112
307.5 0.995 0.000904
322.5 0.997 0.000662
337.5 0.998 0.000533
352.5 0.999 0.000666
367.5 1.000 0.000715
1252.5 1.00 0.0000
