# Scale factors (Data/MC)
[Offline PF jet pT (GeV)]
# pT	Ratio(Data/MC)	Stat. error
42.0	0.630	0.018
46.0	0.632	0.014
50.0	0.652	0.012
54.0	0.696	0.010
58.0	0.750	0.009
62.0	0.797	0.008
66.0	0.833	0.007
70.0	0.879	0.006
74.0	0.917	0.005
78.0	0.922	0.005
82.0	0.950	0.004
86.0	0.961	0.003
90.0	0.975	0.003
94.0	0.985	0.002
98.0	0.988	0.002
102.0	0.993	0.002
106.0	0.999	0.002
110.0	0.993	0.002
114.0	0.996	0.001
118.0	0.995	0.001

[Number of Offline Prompt Tracks]
# Ntrk	Ratio(Data/MC)	Stat. error
0.0	0.932	0.303
1.0	1.054	0.129
2.0	1.088	0.091
3.0	1.202	0.072
4.0	1.300	0.071
5.0	1.375	0.068
6.0	1.478	0.073
7.0	1.574	0.080
8.0	1.690	0.096
9.0	1.669	0.105
10.0	1.688	0.121
11.0	1.775	0.146
12.0	1.969	0.192
13.0	1.917	0.214
14.0	1.796	0.239
15.0	1.681	0.263
16.0	2.879	0.607
17.0	2.214	0.483
18.0	1.822	0.465
19.0	1.666	0.426

