# Scale factors (Data/MC)
# HT Ratio(Data/MC)  Stat. error
37.5 0.0254 0.0507
82.5 0.900 1.57
97.5 0.845 0.890
112.5 3.97 6.86
127.5 0.601 0.245
142.5 1.07 0.462
157.5 0.492 0.120
172.5 0.414 0.0806
187.5 0.586 0.113
202.5 0.433 0.0615
217.5 0.321 0.0322
232.5 0.373 0.0332
247.5 0.310 0.0191
262.5 0.352 0.0176
277.5 0.366 0.0137
292.5 0.351 0.00933
307.5 0.396 0.00748
322.5 0.457 0.00604
337.5 0.562 0.00530
352.5 0.673 0.00460
367.5 0.775 0.00374
382.5 0.852 0.00303
397.5 0.911 0.00251
412.5 0.944 0.00179
427.5 0.966 0.00148
442.5 0.983 0.00143
457.5 0.990 0.00115
472.5 0.994 0.000971
487.5 0.996 0.000876
1252.5 1.00 0.0000
