# Scale factors (Data/MC)
[Offline PF jet pT (GeV)]
# pT	Ratio(Data/MC)	Stat. error
42.0	0.808	0.005
46.0	0.843	0.004
50.0	0.890	0.004
54.0	0.928	0.003
58.0	0.952	0.003
62.0	0.970	0.002
66.0	0.981	0.002
70.0	0.987	0.002
74.0	0.993	0.001
78.0	0.995	0.001
82.0	0.996	0.001
86.0	0.997	0.001
90.0	0.999	0.001
94.0	0.998	0.001
98.0	0.998	0.001
102.0	0.999	0.001
106.0	1.001	0.001
110.0	0.998	0.001
114.0	0.999	0.001
118.0	0.998	0.001

[Number of Offline Prompt Tracks]
# Ntrk	Ratio(Data/MC)	Stat. error
0.0	1.032	0.216
1.0	1.065	0.121
2.0	1.022	0.088
3.0	1.035	0.066
4.0	1.176	0.071
5.0	1.397	0.082
6.0	1.284	0.070
7.0	1.458	0.085
8.0	1.626	0.104
9.0	1.785	0.122
10.0	2.104	0.169
11.0	1.972	0.167
12.0	2.044	0.193
13.0	2.044	0.221
14.0	2.232	0.275
15.0	2.028	0.288
16.0	3.218	0.571
17.0	1.779	0.309
18.0	3.140	0.786
19.0	1.954	0.453

[Event HT]
# HT Ratio(Data/MC)  Stat. error
37.5 0.261 0.206
52.5 0.836 0.656
67.5 1.17 0.537
82.5 2.83 1.30
97.5 1.57 0.341
112.5 2.15 0.363
127.5 1.69 0.200
142.5 1.77 0.183
157.5 1.07 0.0721
172.5 0.920 0.0495
187.5 0.732 0.0290
202.5 0.612 0.0179
217.5 0.512 0.00981
232.5 0.545 0.00734
247.5 0.624 0.00542
262.5 0.739 0.00447
277.5 0.829 0.00341
292.5 0.893 0.00250
307.5 0.937 0.00204
322.5 0.962 0.00133
337.5 0.980 0.00122
352.5 0.988 0.00112
367.5 0.994 0.000837
382.5 0.996 0.000603
397.5 1.00 0.595
