# Scale factors (Data/MC)
# HT Ratio(Data/MC)  Stat. error
37.5 0.261 0.206
52.5 0.836 0.656
67.5 1.17 0.537
82.5 2.83 1.30
97.5 1.57 0.341
112.5 2.15 0.363
127.5 1.69 0.200
142.5 1.77 0.183
157.5 1.07 0.0721
172.5 0.920 0.0495
187.5 0.732 0.0290
202.5 0.612 0.0179
217.5 0.512 0.00981
232.5 0.545 0.00734
247.5 0.624 0.00542
262.5 0.739 0.00447
277.5 0.829 0.00341
292.5 0.893 0.00250
307.5 0.937 0.00204
322.5 0.962 0.00133
337.5 0.980 0.00122
352.5 0.988 0.00112
367.5 0.994 0.000837
382.5 0.996 0.000603
397.5 1.00 0.595
1252.5 1.00 0.0000
