# Scale factors (Data/MC)
[Offline PF jet pT (GeV)]
# pT	Ratio(Data/MC)	Stat. error
42.0	0.808	0.005
46.0	0.843	0.004
50.0	0.890	0.004
54.0	0.928	0.003
58.0	0.952	0.003
62.0	0.970	0.002
66.0	0.981	0.002
70.0	0.987	0.002
74.0	0.993	0.001
78.0	0.995	0.001
82.0	0.996	0.001
86.0	0.997	0.001
90.0	0.999	0.001
94.0	0.998	0.001
98.0	0.998	0.001
102.0	0.999	0.001
106.0	1.001	0.001
110.0	0.998	0.001
114.0	0.999	0.001
118.0	0.998	0.001

[Number of Offline Prompt Tracks]
# Ntrk	Ratio(Data/MC)	Stat. error
0.0	1.032	0.216
1.0	1.065	0.121
2.0	1.022	0.088
3.0	1.035	0.066
4.0	1.176	0.071
5.0	1.397	0.082
6.0	1.284	0.070
7.0	1.458	0.085
8.0	1.626	0.104
9.0	1.785	0.122
10.0	2.104	0.169
11.0	1.972	0.167
12.0	2.044	0.193
13.0	2.044	0.221
14.0	2.232	0.275
15.0	2.028	0.288
16.0	3.218	0.571
17.0	1.779	0.309
18.0	3.140	0.786
19.0	1.954	0.453

